kind,spacing,width,height,origin,erasers,cold_pan_median_us,cold_pan_p95_us,warm_pan_median_us,warm_pan_p95_us,png_median_us,png_p95_us,png_bytes,surface_bytes_proxy
Isometric,40,3840,2160,0,200,31600,31744,2065,2223,395045,397930,2872891,112869376
IsometricDots,8,3840,2160,0,0,17341,17489,2029,2230,236783,237067,1536684,112869376
IsometricDots,8,3840,2160,0,20,19257,20206,2134,2476,319396,320760,1784952,112869376
IsometricDots,8,3840,2160,0,200,36696,36875,2043,2469,357748,358996,2034353,112869376
IsometricDots,40,3840,2160,0,0,16937,17541,2068,2256,139286,139630,248864,112869376
IsometricDots,40,3840,2160,0,20,18598,20155,2083,2591,199615,200309,335132,112869376
IsometricDots,40,3840,2160,0,200,31477,33203,2066,2700,222001,224319,505456,112869376
None,8,3840,2160,-1000021,0,6657,8292,2269,2394,128084,133287,82922,112869376
None,8,3840,2160,-1000021,20,7158,7707,2195,2227,184799,195329,140454,112869376
None,8,3840,2160,-1000021,200,11066,11552,2064,2588,195439,196309,299751,112869376
None,40,3840,2160,-1000021,0,6481,6748,2209,2279,126051,126324,82922,112869376
None,40,3840,2160,-1000021,20,7184,7452,2133,2747,182462,182986,140454,112869376
None,40,3840,2160,-1000021,200,11670,12305,2236,2348,196137,198833,299751,112869376
Cartesian,8,3840,2160,-1000021,0,9654,9989,2020,2297,147992,149402,222712,112869376
Cartesian,8,3840,2160,-1000021,20,10795,10914,2031,2103,211975,213261,317630,112869376
Cartesian,8,3840,2160,-1000021,200,18160,18188,1927,1958,239227,239664,623763,112869376
Cartesian,40,3840,2160,-1000021,0,9293,9488,1973,2035,138388,138615,150181,112869376
Cartesian,40,3840,2160,-1000021,20,10171,10319,1998,2011,201069,201697,298887,112869376
Cartesian,40,3840,2160,-1000021,200,16940,17112,1936,1940,223481,223934,510941,112869376
Isometric,8,3840,2160,-1000021,0,16649,16777,1942,1966,453213,454074,3173502,112869376
Isometric,8,3840,2160,-1000021,20,18457,18870,1992,2165,604209,606566,3526205,112869376
Isometric,8,3840,2160,-1000021,200,35370,35632,1921,1972,643836,645247,3759572,112869376
Isometric,40,3840,2160,-1000021,0,16605,16787,1980,2068,276595,277171,2351763,112869376
Isometric,40,3840,2160,-1000021,20,18173,18373,2011,2054,363726,372134,2675243,112869376
Isometric,40,3840,2160,-1000021,200,30793,31725,1944,2037,391065,393237,2872401,112869376
IsometricDots,8,3840,2160,-1000021,0,16880,17105,1940,2196,235193,236404,1532620,112869376
IsometricDots,8,3840,2160,-1000021,20,18542,18702,2015,2052,316100,317114,1784251,112869376
IsometricDots,8,3840,2160,-1000021,200,36018,36591,2005,2146,356921,362920,2034242,112869376
IsometricDots,40,3840,2160,-1000021,0,16983,17460,2090,2121,139698,140506,247770,112869376
IsometricDots,40,3840,2160,-1000021,20,18091,18267,1916,2201,198149,199032,335533,112869376
IsometricDots,40,3840,2160,-1000021,200,31535,32155,1979,2067,221090,223278,505782,112869376
