source,kind,spacing,width,height,erasers,pdf,median_us,p95_us,target_or_pdf_bytes
Tile,Cartesian,40,3840,2160,0,true,131,144,2453
Solid,Cartesian,40,3840,2160,20,false,5339,5443,33177600
Tile,Cartesian,40,3840,2160,20,false,6911,7028,33177600
Solid,Cartesian,40,3840,2160,20,true,55440,55610,149953
Tile,Cartesian,40,3840,2160,20,true,66254,66464,215815
Solid,Cartesian,40,3840,2160,200,false,11128,11629,33177600
Tile,Cartesian,40,3840,2160,200,false,14686,14778,33177600
Solid,Cartesian,40,3840,2160,200,true,591393,598996,2941444
Tile,Cartesian,40,3840,2160,200,true,767512,774257,3528120
Solid,Isometric,8,3840,2160,0,false,5128,5391,33177600
Tile,Isometric,8,3840,2160,0,false,11214,11397,33177600
Solid,Isometric,8,3840,2160,0,true,108,129,1542
Tile,Isometric,8,3840,2160,0,true,139,152,2530
Solid,Isometric,8,3840,2160,20,false,5787,6034,33177600
Tile,Isometric,8,3840,2160,20,false,12913,12996,33177600
Solid,Isometric,8,3840,2160,20,true,55172,57034,149953
Tile,Isometric,8,3840,2160,20,true,202756,204920,1386368
Solid,Isometric,8,3840,2160,200,false,11581,11646,33177600
Tile,Isometric,8,3840,2160,200,false,30583,30622,33177600
Solid,Isometric,8,3840,2160,200,true,592189,604378,2941444
Tile,Isometric,8,3840,2160,200,true,1824540,1842717,14531343
Solid,Isometric,40,3840,2160,0,false,5841,5947,33177600
Tile,Isometric,40,3840,2160,0,false,12047,12118,33177600
Solid,Isometric,40,3840,2160,0,true,120,134,1542
Tile,Isometric,40,3840,2160,0,true,145,159,2533
Solid,Isometric,40,3840,2160,20,false,6492,6552,33177600
Tile,Isometric,40,3840,2160,20,false,13579,13645,33177600
Solid,Isometric,40,3840,2160,20,true,57160,57479,149953
Tile,Isometric,40,3840,2160,20,true,94379,96976,551501
Solid,Isometric,40,3840,2160,200,false,13841,17122,33177600
Tile,Isometric,40,3840,2160,200,false,28812,29316,33177600
Solid,Isometric,40,3840,2160,200,true,607961,615508,2941444
Tile,Isometric,40,3840,2160,200,true,1156582,1163901,6642415
Solid,IsometricDots,8,3840,2160,0,false,4885,4985,33177600
Tile,IsometricDots,8,3840,2160,0,false,11344,11544,33177600
Solid,IsometricDots,8,3840,2160,0,true,109,133,1542
Tile,IsometricDots,8,3840,2160,0,true,172,188,2681
Solid,IsometricDots,8,3840,2160,20,false,5319,5900,33177600
Tile,IsometricDots,8,3840,2160,20,false,12856,13400,33177600
Solid,IsometricDots,8,3840,2160,20,true,55338,55610,149954
Tile,IsometricDots,8,3840,2160,20,true,90630,90963,670417
Solid,IsometricDots,8,3840,2160,200,false,10771,11161,33177600
Tile,IsometricDots,8,3840,2160,200,false,30072,30136,33177600
Solid,IsometricDots,8,3840,2160,200,true,593308,594650,2941444
